T1 T2
461.0 37.0
4.0 1.0
4.0 0.0
5.0 1.0
4.0 0.0
5.0 0.0
3.0 2.0
4.0 1.0
3.0 1.0
4.0 0.0
4.0 1.0
3.0 0.0
4.0 0.0
3.0 1.0
3.0 1.0
4.0 1.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 1.0
4.0 0.0
4.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
4.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
4.0 0.0
4.0 0.0
4.0 1.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
2.0 1.0
4.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
4.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
4.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 1.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
4.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
2.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
Numero de Fallas:0
Carga del CPU:0.0
